#
# Generated by M. Cushing, Mon Sep 25 11:37:55 2017
#
# Line list for the Lp3 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 134     |  3.8625492          |            Sky    |  6.0          | L          | 5          
 134     |  3.8634377          |            Sky    |  6.0          | L          | 5          
 134     |  3.8643304          |            Sky    |  6.0          | L          | 5          
 134     |  3.8652359          |            Sky    |  6.0          | L          | 5          
 134     |  3.8661482          |            Sky    | 10.0          | L          | 5          
 134     |  3.8670806          |            Sky    |  8.0          | L          | 5          
 134     |  3.8680147          |            Sky    |  3.0          | L          | 4          
 134     |  3.8699216          |            Sky    |  7.0          | L          | 5          
 134     |  3.8708914          |            Sky    |  4.0          | L          | 4          
 134     |  3.8718684          |            Sky    |  7.0          | L          | 5          
 134     |  3.8728625          |            Sky    |  7.0          | L          | 5          
 134     |  3.8738613          |            Sky    |  7.0          | L          | 5          
 134     |  3.8748733          |            Sky    |  7.0          | L          | 5          
 134     |  3.8758966          |            Sky    | 15.0          | L          | 5          
 134     |  3.8769294          |            Sky    |  5.0          | L          | 5          
 135     |  3.8193159          |            Sky    | 15.0          | L          | 5          
 135     |  3.8244151          |            Sky    | 15.0          | L          | 5          
 135     |  3.8255254          |            Sky    | 10.0          | L          | 5          
 135     |  3.8276924          |            Sky    | 15.0          | L          | 5          
 135     |  3.8368479          |            Sky    | 15.0          | L          | 5          
 135     |  3.8385061          |            Sky    | 12.0          | L          | 5          
 135     |  3.8397493          |            Sky    |  3.0          | L          | 5          
 135     |  3.8448825          |            Sky    | 10.0          | L          | 5          
 135     |  3.8472358          |            Sky    |  6.0          | L          | 5          
