#
# Generated by M. Cushing, Tue Oct 17 12:30:56 2017
#
# Line list for the Kgas mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 229     |    2.260138         |           Th I    |  2.0          | G          | 5          
 229     |  2.26205493         |           Th I    |  2.0          | G          | 5          
 229     |    2.262286         |           Th I    |  2.0          | G          | 5          
 229     |  2.26523683         |           Th I    |  2.0          | G          | 5          
 230     |    2.245060         |  Ar II / Th II    |  2.0          | G          | 5          
 230     |  2.25029381         |           Th I    |  2.0          | G          | 5          
 230     |    2.251226         |          Th II    |  2.0          | G          | 5          
 230     |    2.252005         |           Th I    |  2.0          | G          | 5          
 230     |    2.252505         |           Th I    |  2.0          | G          | 5          
 230     |    2.252774         |          Ar II    |  2.0          | G          | 5          
 230     |    2.253862         |          Ar II    |  1.2          | G          | 5          
 230     |   2.2539737         |         Ar I *    |  2.0          | G          | 5          
 230     |  2.25439164         |           Th I    |  2.0          | G          | 5          
 230     |    2.255056         |           Th I    |  2.0          | G          | 5          
 230     |    2.255822         |          Ar II    |  2.0          | G          | 5          
 230     |    2.257773         |          Th II    |  2.0          | G          | 5          
 231     |   2.2350862         |           Th I    |  2.0          | G          | 5          
 231     |    2.237549         |                   |  2.0          | G          | 5          
 231     |    2.238153         |          Ar II    |  2.0          | G          | 5          
 231     |   2.2383878         |           Th I    |  2.0          | G          | 5          
 231     |    2.240255         |          Ar II    |  2.0          | G          | 5          
 231     |    2.243679         |           Th I    |  1.0          | G          | 5          
 231     |    2.244352         |           Th I    |  1.5          | G          | 5          
 231     |    2.244580         |           Th I    |  2.0          | G          | 5          
 231     |    2.245060         |  Ar II / Th II    |  2.0          | G          | 5          
 231     |  2.25029381         |           Th I    |  2.0          | G          | 5          
 232     |   2.2270412         |          Th II    |  2.0          | G          | 5          
 232     |    2.228969         |           Th I    |  2.0          | G          | 5          
 232     |    2.232439         |           Th I    |  2.0          | G          | 5          
 232     |    2.234712         |           Th I    |  2.0          | G          | 5          
 232     |    2.234998         |          Th II    |  1.3          | G          | 5          
 232     |   2.2350862         |           Th I    |  1.3          | G          | 5          
 232     |    2.238153         |          Ar II    |  2.0          | G          | 5          
 232     |   2.2383878         |           Th I    |  2.0          | G          | 5          
 232     |    2.240255         |          Ar II    |  2.0          | G          | 5          
 233     |    2.221573         |           Ar I    |  2.0          | G          | 5          
 233     |    2.222196         |           Th I    |  2.0          | G          | 5          
