#
# Generated by M. Cushing, Mon Oct 16 21:27:38 2017
#
# Line list for the K2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 245     |    2.117876         |    Th I / Th I    |  1.0          | G          | 5          
 245     |    2.124281         |          Ar II    |  1.0          | G          | 5          
 246     |  2.10415644         |         Ar I *    |  1.0          | G          | 5          
 246     |    2.104640         |                   |  1.0          | G          | 5          
 246     |   2.1055955         |           Th I    |  1.0          | G          | 5          
 246     |    2.106188         |          Ar II    |  1.0          | G          | 5          
 246     |   2.1101546         |          Th II    |  1.0          | G          | 5          
 246     |    2.111413         |           Th I    |  1.0          | G          | 5          
 246     |    2.112834         |          Ar II    |  1.0          | G          | 5          
 246     |  2.11489584         |           Th I    |  1.0          | G          | 5          
 246     |  2.11542621         |           Th I    |  1.0          | G          | 5          
 247     |    2.094204         |          Ar II    |  1.0          | G          | 5          
 247     |    2.097946         |           Th I    |  1.0          | G          | 5          
 247     |    2.101756         |           Th I    |  1.0          | G          | 5          
 247     |    2.102062         |          Th II    |  1.0          | G          | 5          
 247     |   2.1025256         |           Th I    |  0.6          | G          | 5          
 247     |  2.10415644         |         Ar I *    |  1.0          | G          | 5          
 247     |    2.104640         |                   |  1.0          | G          | 5          
 247     |   2.1055955         |           Th I    |  1.0          | G          | 5          
 247     |    2.106188         |          Ar II    |  1.0          | G          | 5          
 248     |  2.08751450         |           Th I    |  1.0          | G          | 5          
 248     |    2.093697         |          Ar II    |  1.0          | G          | 5          
 248     |    2.094204         |          Ar II    |  1.0          | G          | 5          
 248     |    2.094691         |          Ar II    |  1.0          | G          | 5          
 248     |   2.0957188         |           Th I    |  1.0          | G          | 5          
 248     |  2.09918387         |           Ar I    |  1.0          | G          | 5          
